pair_id,family_id,asset_a_id,asset_b_id,label,scenario,split
V3-032,V3-FAMILY-IND_DEP_FLOW_DAY_ACTIVE,IND_DEP_FLOW_DAY_ACTIVE,IND_DEP_FLOW_DAY_ACTIVE_HARD,NOT_DUPLICATE,HARD_AGGREGATION_CONFLICT,DEV
V3-033,V3-FAMILY-IND_DEP_FLOW_DAY_ACTIVE,IND_DEP_FLOW_DAY_ACTIVE,DIST_LOAN_010,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-034,V3-FAMILY-IND_DEP_FLOW_DAY_CNY,IND_DEP_FLOW_DAY_CNY,IND_DEP_FLOW_DAY_CNY_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-035,V3-FAMILY-IND_DEP_FLOW_DAY_CNY,IND_DEP_FLOW_DAY_CNY,IND_DEP_FLOW_DAY_CNY_HARD,NOT_DUPLICATE,HARD_CURRENCY_SCOPE_CONFLICT,TEST
V3-036,V3-FAMILY-IND_DEP_FLOW_DAY_CNY,IND_DEP_FLOW_DAY_CNY,DIST_LOAN_011,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-037,V3-FAMILY-IND_DEP_FLOW_MONTH_ALL,IND_DEP_FLOW_MONTH_ALL,IND_DEP_FLOW_MONTH_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-038,V3-FAMILY-IND_DEP_FLOW_MONTH_ALL,IND_DEP_FLOW_MONTH_ALL,IND_DEP_FLOW_MONTH_ALL_HARD,NOT_DUPLICATE,HARD_TIME_GRAIN_CONFLICT,TEST
V3-039,V3-FAMILY-IND_DEP_FLOW_MONTH_ALL,IND_DEP_FLOW_MONTH_ALL,DIST_LOAN_012,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-040,V3-FAMILY-IND_DEP_FLOW_MONTH_ACTIVE,IND_DEP_FLOW_MONTH_ACTIVE,IND_DEP_FLOW_MONTH_ACTIVE_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-041,V3-FAMILY-IND_DEP_FLOW_MONTH_ACTIVE,IND_DEP_FLOW_MONTH_ACTIVE,IND_DEP_FLOW_MONTH_ACTIVE_HARD,NOT_DUPLICATE,HARD_DATE_FIELD_CONFLICT,TEST
V3-042,V3-FAMILY-IND_DEP_FLOW_MONTH_ACTIVE,IND_DEP_FLOW_MONTH_ACTIVE,DIST_LOAN_013,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-043,V3-FAMILY-IND_DEP_FLOW_MONTH_CNY,IND_DEP_FLOW_MONTH_CNY,IND_DEP_FLOW_MONTH_CNY_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-044,V3-FAMILY-IND_DEP_FLOW_MONTH_CNY,IND_DEP_FLOW_MONTH_CNY,IND_DEP_FLOW_MONTH_CNY_HARD,NOT_DUPLICATE,HARD_AGGREGATION_CONFLICT,DEV
V3-045,V3-FAMILY-IND_DEP_FLOW_MONTH_CNY,IND_DEP_FLOW_MONTH_CNY,DIST_LOAN_014,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-046,V3-FAMILY-IND_DEP_FLOW_QUARTER_ALL,IND_DEP_FLOW_QUARTER_ALL,IND_DEP_FLOW_QUARTER_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-047,V3-FAMILY-IND_DEP_FLOW_QUARTER_ALL,IND_DEP_FLOW_QUARTER_ALL,IND_DEP_FLOW_QUARTER_ALL_HARD,NOT_DUPLICATE,HARD_CURRENCY_SCOPE_CONFLICT,TEST
V3-048,V3-FAMILY-IND_DEP_FLOW_QUARTER_ALL,IND_DEP_FLOW_QUARTER_ALL,DIST_LOAN_015,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-049,V3-FAMILY-IND_DEP_FLOW_QUARTER_ACTIVE,IND_DEP_FLOW_QUARTER_ACTIVE,IND_DEP_FLOW_QUARTER_ACTIVE_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-050,V3-FAMILY-IND_DEP_FLOW_QUARTER_ACTIVE,IND_DEP_FLOW_QUARTER_ACTIVE,IND_DEP_FLOW_QUARTER_ACTIVE_HARD,NOT_DUPLICATE,HARD_AGGREGATION_CONFLICT,DEV
V3-051,V3-FAMILY-IND_DEP_FLOW_QUARTER_ACTIVE,IND_DEP_FLOW_QUARTER_ACTIVE,DIST_LOAN_016,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-052,V3-FAMILY-IND_DEP_FLOW_QUARTER_CNY,IND_DEP_FLOW_QUARTER_CNY,IND_DEP_FLOW_QUARTER_CNY_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-053,V3-FAMILY-IND_DEP_FLOW_QUARTER_CNY,IND_DEP_FLOW_QUARTER_CNY,IND_DEP_FLOW_QUARTER_CNY_HARD,NOT_DUPLICATE,HARD_FILTER_CONFLICT,DEV
V3-054,V3-FAMILY-IND_DEP_FLOW_QUARTER_CNY,IND_DEP_FLOW_QUARTER_CNY,DIST_LOAN_017,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-055,V3-FAMILY-IND_DEP_TXN_CNT_DAY_ALL,IND_DEP_TXN_CNT_DAY_ALL,IND_DEP_TXN_CNT_DAY_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-056,V3-FAMILY-IND_DEP_TXN_CNT_DAY_ALL,IND_DEP_TXN_CNT_DAY_ALL,IND_DEP_TXN_CNT_DAY_ALL_HARD,NOT_DUPLICATE,HARD_MEASURE_CONFLICT,TEST
V3-057,V3-FAMILY-IND_DEP_TXN_CNT_DAY_ALL,IND_DEP_TXN_CNT_DAY_ALL,DIST_LOAN_018,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-058,V3-FAMILY-IND_DEP_TXN_CNT_DAY_ACTIVE,IND_DEP_TXN_CNT_DAY_ACTIVE,IND_DEP_TXN_CNT_DAY_ACTIVE_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-059,V3-FAMILY-IND_DEP_TXN_CNT_DAY_ACTIVE,IND_DEP_TXN_CNT_DAY_ACTIVE,IND_DEP_TXN_CNT_DAY_ACTIVE_HARD,NOT_DUPLICATE,HARD_CURRENCY_SCOPE_CONFLICT,TEST
V3-060,V3-FAMILY-IND_DEP_TXN_CNT_DAY_ACTIVE,IND_DEP_TXN_CNT_DAY_ACTIVE,DIST_LOAN_019,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-061,V3-FAMILY-IND_DEP_TXN_CNT_DAY_CNY,IND_DEP_TXN_CNT_DAY_CNY,IND_DEP_TXN_CNT_DAY_CNY_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-062,V3-FAMILY-IND_DEP_TXN_CNT_DAY_CNY,IND_DEP_TXN_CNT_DAY_CNY,IND_DEP_TXN_CNT_DAY_CNY_HARD,NOT_DUPLICATE,HARD_TIME_GRAIN_CONFLICT,TEST
V3-063,V3-FAMILY-IND_DEP_TXN_CNT_DAY_CNY,IND_DEP_TXN_CNT_DAY_CNY,DIST_LOAN_020,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-064,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_ALL,IND_DEP_TXN_CNT_MONTH_ALL,IND_DEP_TXN_CNT_MONTH_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-065,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_ALL,IND_DEP_TXN_CNT_MONTH_ALL,IND_DEP_TXN_CNT_MONTH_ALL_HARD,NOT_DUPLICATE,HARD_DATE_FIELD_CONFLICT,TEST
V3-066,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_ALL,IND_DEP_TXN_CNT_MONTH_ALL,DIST_ACCOUNTING_000,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-067,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_ACTIVE,IND_DEP_TXN_CNT_MONTH_ACTIVE,IND_DEP_TXN_CNT_MONTH_ACTIVE_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-068,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_ACTIVE,IND_DEP_TXN_CNT_MONTH_ACTIVE,IND_DEP_TXN_CNT_MONTH_ACTIVE_HARD,NOT_DUPLICATE,HARD_MEASURE_CONFLICT,TEST
V3-069,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_ACTIVE,IND_DEP_TXN_CNT_MONTH_ACTIVE,DIST_ACCOUNTING_001,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-070,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_CNY,IND_DEP_TXN_CNT_MONTH_CNY,IND_DEP_TXN_CNT_MONTH_CNY_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-071,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_CNY,IND_DEP_TXN_CNT_MONTH_CNY,IND_DEP_TXN_CNT_MONTH_CNY_HARD,NOT_DUPLICATE,HARD_FILTER_CONFLICT,DEV
V3-072,V3-FAMILY-IND_DEP_TXN_CNT_MONTH_CNY,IND_DEP_TXN_CNT_MONTH_CNY,DIST_ACCOUNTING_002,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-073,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_ALL,IND_DEP_TXN_CNT_QUARTER_ALL,IND_DEP_TXN_CNT_QUARTER_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-074,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_ALL,IND_DEP_TXN_CNT_QUARTER_ALL,IND_DEP_TXN_CNT_QUARTER_ALL_HARD,NOT_DUPLICATE,HARD_TIME_GRAIN_CONFLICT,TEST
V3-075,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_ALL,IND_DEP_TXN_CNT_QUARTER_ALL,DIST_ACCOUNTING_003,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-076,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_ACTIVE,IND_DEP_TXN_CNT_QUARTER_ACTIVE,IND_DEP_TXN_CNT_QUARTER_ACTIVE_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-077,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_ACTIVE,IND_DEP_TXN_CNT_QUARTER_ACTIVE,IND_DEP_TXN_CNT_QUARTER_ACTIVE_HARD,NOT_DUPLICATE,HARD_DATE_FIELD_CONFLICT,TEST
V3-078,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_ACTIVE,IND_DEP_TXN_CNT_QUARTER_ACTIVE,DIST_ACCOUNTING_004,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-079,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_CNY,IND_DEP_TXN_CNT_QUARTER_CNY,IND_DEP_TXN_CNT_QUARTER_CNY_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-080,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_CNY,IND_DEP_TXN_CNT_QUARTER_CNY,IND_DEP_TXN_CNT_QUARTER_CNY_HARD,NOT_DUPLICATE,HARD_AGGREGATION_CONFLICT,DEV
V3-081,V3-FAMILY-IND_DEP_TXN_CNT_QUARTER_CNY,IND_DEP_TXN_CNT_QUARTER_CNY,DIST_ACCOUNTING_005,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-082,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_ALL,IND_DEP_ACCT_CNT_DAY_ALL,IND_DEP_ACCT_CNT_DAY_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-083,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_ALL,IND_DEP_ACCT_CNT_DAY_ALL,IND_DEP_ACCT_CNT_DAY_ALL_HARD,NOT_DUPLICATE,HARD_CURRENCY_SCOPE_CONFLICT,TEST
V3-084,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_ALL,IND_DEP_ACCT_CNT_DAY_ALL,DIST_ACCOUNTING_006,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-085,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_ACTIVE,IND_DEP_ACCT_CNT_DAY_ACTIVE,IND_DEP_ACCT_CNT_DAY_ACTIVE_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-086,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_ACTIVE,IND_DEP_ACCT_CNT_DAY_ACTIVE,IND_DEP_ACCT_CNT_DAY_ACTIVE_HARD,NOT_DUPLICATE,HARD_AGGREGATION_CONFLICT,DEV
V3-087,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_ACTIVE,IND_DEP_ACCT_CNT_DAY_ACTIVE,DIST_ACCOUNTING_007,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-088,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_CNY,IND_DEP_ACCT_CNT_DAY_CNY,IND_DEP_ACCT_CNT_DAY_CNY_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-089,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_CNY,IND_DEP_ACCT_CNT_DAY_CNY,IND_DEP_ACCT_CNT_DAY_CNY_HARD,NOT_DUPLICATE,HARD_DATE_FIELD_CONFLICT,TEST
V3-090,V3-FAMILY-IND_DEP_ACCT_CNT_DAY_CNY,IND_DEP_ACCT_CNT_DAY_CNY,DIST_ACCOUNTING_008,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-091,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_ALL,IND_DEP_ACCT_CNT_MONTH_ALL,IND_DEP_ACCT_CNT_MONTH_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-092,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_ALL,IND_DEP_ACCT_CNT_MONTH_ALL,IND_DEP_ACCT_CNT_MONTH_ALL_HARD,NOT_DUPLICATE,HARD_MEASURE_CONFLICT,TEST
V3-093,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_ALL,IND_DEP_ACCT_CNT_MONTH_ALL,DIST_ACCOUNTING_009,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-094,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_ACTIVE,IND_DEP_ACCT_CNT_MONTH_ACTIVE,IND_DEP_ACCT_CNT_MONTH_ACTIVE_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-095,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_ACTIVE,IND_DEP_ACCT_CNT_MONTH_ACTIVE,IND_DEP_ACCT_CNT_MONTH_ACTIVE_HARD,NOT_DUPLICATE,HARD_CURRENCY_SCOPE_CONFLICT,TEST
V3-096,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_ACTIVE,IND_DEP_ACCT_CNT_MONTH_ACTIVE,DIST_ACCOUNTING_010,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-097,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_CNY,IND_DEP_ACCT_CNT_MONTH_CNY,IND_DEP_ACCT_CNT_MONTH_CNY_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-098,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_CNY,IND_DEP_ACCT_CNT_MONTH_CNY,IND_DEP_ACCT_CNT_MONTH_CNY_HARD,NOT_DUPLICATE,HARD_AGGREGATION_CONFLICT,DEV
V3-099,V3-FAMILY-IND_DEP_ACCT_CNT_MONTH_CNY,IND_DEP_ACCT_CNT_MONTH_CNY,DIST_ACCOUNTING_011,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-100,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_ALL,IND_DEP_ACCT_CNT_QUARTER_ALL,IND_DEP_ACCT_CNT_QUARTER_ALL_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-101,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_ALL,IND_DEP_ACCT_CNT_QUARTER_ALL,IND_DEP_ACCT_CNT_QUARTER_ALL_HARD,NOT_DUPLICATE,HARD_FILTER_CONFLICT,DEV
V3-102,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_ALL,IND_DEP_ACCT_CNT_QUARTER_ALL,DIST_ACCOUNTING_012,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-103,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_ACTIVE,IND_DEP_ACCT_CNT_QUARTER_ACTIVE,IND_DEP_ACCT_CNT_QUARTER_ACTIVE_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-104,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_ACTIVE,IND_DEP_ACCT_CNT_QUARTER_ACTIVE,IND_DEP_ACCT_CNT_QUARTER_ACTIVE_HARD,NOT_DUPLICATE,HARD_MEASURE_CONFLICT,TEST
V3-105,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_ACTIVE,IND_DEP_ACCT_CNT_QUARTER_ACTIVE,DIST_ACCOUNTING_013,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-106,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_CNY,IND_DEP_ACCT_CNT_QUARTER_CNY,IND_DEP_ACCT_CNT_QUARTER_CNY_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-107,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_CNY,IND_DEP_ACCT_CNT_QUARTER_CNY,IND_DEP_ACCT_CNT_QUARTER_CNY_HARD,NOT_DUPLICATE,HARD_CURRENCY_SCOPE_CONFLICT,TEST
V3-108,V3-FAMILY-IND_DEP_ACCT_CNT_QUARTER_CNY,IND_DEP_ACCT_CNT_QUARTER_CNY,DIST_ACCOUNTING_014,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-109,V3-FAMILY-IND_LOAN_OUT_DAY_ALL,IND_LOAN_OUT_DAY_ALL,IND_LOAN_OUT_DAY_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-110,V3-FAMILY-IND_LOAN_OUT_DAY_ALL,IND_LOAN_OUT_DAY_ALL,IND_LOAN_OUT_DAY_ALL_HARD,NOT_DUPLICATE,HARD_TIME_GRAIN_CONFLICT,TEST
V3-111,V3-FAMILY-IND_LOAN_OUT_DAY_ALL,IND_LOAN_OUT_DAY_ALL,DIST_DEPOSIT_000,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-112,V3-FAMILY-IND_LOAN_OUT_DAY_ACTIVE,IND_LOAN_OUT_DAY_ACTIVE,IND_LOAN_OUT_DAY_ACTIVE_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-113,V3-FAMILY-IND_LOAN_OUT_DAY_ACTIVE,IND_LOAN_OUT_DAY_ACTIVE,IND_LOAN_OUT_DAY_ACTIVE_HARD,NOT_DUPLICATE,HARD_FILTER_CONFLICT,DEV
V3-114,V3-FAMILY-IND_LOAN_OUT_DAY_ACTIVE,IND_LOAN_OUT_DAY_ACTIVE,DIST_DEPOSIT_001,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-115,V3-FAMILY-IND_LOAN_OUT_DAY_CNY,IND_LOAN_OUT_DAY_CNY,IND_LOAN_OUT_DAY_CNY_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-116,V3-FAMILY-IND_LOAN_OUT_DAY_CNY,IND_LOAN_OUT_DAY_CNY,IND_LOAN_OUT_DAY_CNY_HARD,NOT_DUPLICATE,HARD_MEASURE_CONFLICT,TEST
V3-117,V3-FAMILY-IND_LOAN_OUT_DAY_CNY,IND_LOAN_OUT_DAY_CNY,DIST_DEPOSIT_002,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-118,V3-FAMILY-IND_LOAN_OUT_MONTH_ALL,IND_LOAN_OUT_MONTH_ALL,IND_LOAN_OUT_MONTH_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
